Date : 2026-01-01 23:54:40
Directory : c:\Code\angular\pdx-map\src
Total : 182 files,  16046 codes, 562 comments, 2193 blanks, all 18801 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        131 |     12,787 |        507 |      1,812 |     15,106 |
| SCSS       |         26 |      2,297 |         35 |        351 |      2,683 |
| HTML       |         25 |        962 |         20 |         30 |      1,012 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Code\angular\pdx-map\src\model\ck3\AccumulatableCurrency.ts                       | TypeScript |         11 |          0 |          5 |         16 |
| c:\Code\angular\pdx-map\src\model\ck3\Building.ts                                    | TypeScript |          8 |          0 |          4 |         12 |
| c:\Code\angular\pdx-map\src\model\ck3\CK3.ts                                         | TypeScript |        124 |          1 |         21 |        146 |
| c:\Code\angular\pdx-map\src\model\ck3\Character.ts                                   | TypeScript |        214 |          1 |         44 |        259 |
| c:\Code\angular\pdx-map\src\model\ck3\County.ts                                      | TypeScript |         58 |          0 |         11 |         69 |
| c:\Code\angular\pdx-map\src\model\ck3\Culture.ts                                     | TypeScript |         18 |          0 |          5 |         23 |
| c:\Code\angular\pdx-map\src\model\ck3\DynastyHouse.ts                                | TypeScript |         22 |          0 |          9 |         31 |
| c:\Code\angular\pdx-map\src\model\ck3\Faith.ts                                       | TypeScript |         10 |          0 |          4 |         14 |
| c:\Code\angular\pdx-map\src\model\ck3\Holding.ts                                     | TypeScript |         31 |          0 |         11 |         42 |
| c:\Code\angular\pdx-map\src\model\ck3\LegacyCk3Save.ts                               | TypeScript |         14 |        304 |          1 |        319 |
| c:\Code\angular\pdx-map\src\model\ck3\Player.ts                                      | TypeScript |         35 |          5 |          7 |         47 |
| c:\Code\angular\pdx-map\src\model\ck3\RulerTier.ts                                   | TypeScript |         57 |          0 |         11 |         68 |
| c:\Code\angular\pdx-map\src\model\ck3\Trait.ts                                       | TypeScript |         62 |          0 |         10 |         72 |
| c:\Code\angular\pdx-map\src\model\ck3\enum\Skill.ts                                  | TypeScript |          8 |          0 |          0 |          8 |
| c:\Code\angular\pdx-map\src\model\ck3\enum\TraitType.ts                              | TypeScript |         11 |          0 |          0 |         11 |
| c:\Code\angular\pdx-map\src\model\ck3\save\ICk3Save.ts                               | TypeScript |         27 |          0 |         17 |         44 |
| c:\Code\angular\pdx-map\src\model\ck3\save\Parse.ts                                  | TypeScript |        161 |         12 |          9 |        182 |
| c:\Code\angular\pdx-map\src\model\ck3\title\AbstractLandedTitle.ts                   | TypeScript |         78 |          0 |         15 |         93 |
| c:\Code\angular\pdx-map\src\model\ck3\title\CustomLandedTitle.ts                     | TypeScript |         32 |          0 |          6 |         38 |
| c:\Code\angular\pdx-map\src\model\ck3\title\LandedTitle.ts                           | TypeScript |         22 |          0 |          5 |         27 |
| c:\Code\angular\pdx-map\src\model\common\OwnershipChange.ts                          | TypeScript |          6 |          0 |          1 |          7 |
| c:\Code\angular\pdx-map\src\model\common\SimplifiedDate.ts                           | TypeScript |         27 |          0 |          4 |         31 |
| c:\Code\angular\pdx-map\src\model\eu4\Eu4Save.ts                                     | TypeScript |         65 |          0 |         11 |         76 |
| c:\Code\angular\pdx-map\src\model\eu4\Eu4SaveCountry.ts                              | TypeScript |         26 |          0 |         10 |         36 |
| c:\Code\angular\pdx-map\src\model\eu4\Eu4SaveProvince.ts                             | TypeScript |         52 |          0 |          9 |         61 |
| c:\Code\angular\pdx-map\src\model\social\DiscordUser.ts                              | TypeScript |         27 |          0 |          4 |         31 |
| c:\Code\angular\pdx-map\src\model\vic\Building.ts                                    | TypeScript |        178 |          0 |         24 |        202 |
| c:\Code\angular\pdx-map\src\model\vic\Country.ts                                     | TypeScript |         85 |          0 |         18 |        103 |
| c:\Code\angular\pdx-map\src\model\vic\CountryBudget.ts                               | TypeScript |         98 |         28 |         20 |        146 |
| c:\Code\angular\pdx-map\src\model\vic\CountryShell.ts                                | TypeScript |          5 |          0 |          3 |          8 |
| c:\Code\angular\pdx-map\src\model\vic\CountryShellBuilderService.ts                  | TypeScript |         51 |         10 |          8 |         69 |
| c:\Code\angular\pdx-map\src\model\vic\ImmutableCountryShell.ts                       | TypeScript |         27 |          7 |          7 |         41 |
| c:\Code\angular\pdx-map\src\model\vic\ModelElementList.ts                            | TypeScript |         33 |          0 |          9 |         42 |
| c:\Code\angular\pdx-map\src\model\vic\Ownership.ts                                   | TypeScript |          7 |          0 |          0 |          7 |
| c:\Code\angular\pdx-map\src\model\vic\Pop.ts                                         | TypeScript |         37 |          0 |          7 |         44 |
| c:\Code\angular\pdx-map\src\model\vic\PowerBloc.ts                                   | TypeScript |         68 |          0 |         10 |         78 |
| c:\Code\angular\pdx-map\src\model\vic\Vic3GameFilesService.spec.ts                   | TypeScript |        106 |          0 |         17 |        123 |
| c:\Code\angular\pdx-map\src\model\vic\Vic3GameFilesService.ts                        | TypeScript |        580 |          0 |         70 |        650 |
| c:\Code\angular\pdx-map\src\model\vic\Vic3Save.ts                                    | TypeScript |        123 |          2 |         10 |        135 |
| c:\Code\angular\pdx-map\src\model\vic\enum\GoodCategory.ts                           | TypeScript |          8 |          0 |          3 |         11 |
| c:\Code\angular\pdx-map\src\model\vic\enum\ResourceType.ts                           | TypeScript |          5 |          0 |          1 |          6 |
| c:\Code\angular\pdx-map\src\model\vic\game\Good.ts                                   | TypeScript |         10 |          0 |          4 |         14 |
| c:\Code\angular\pdx-map\src\model\vic\game\MapStateRegion.ts                         | TypeScript |        124 |          0 |         25 |        149 |
| c:\Code\angular\pdx-map\src\model\vic\game\ModPop.ts                                 | TypeScript |         18 |          0 |          1 |         19 |
| c:\Code\angular\pdx-map\src\saveana\CK3TableColumnProvider.ts                        | TypeScript |        119 |          2 |          7 |        128 |
| c:\Code\angular\pdx-map\src\services\D3JsService.ts                                  | TypeScript |         98 |          0 |         13 |        111 |
| c:\Code\angular\pdx-map\src\services\PersistanceService.ts                           | TypeScript |         21 |          0 |          5 |         26 |
| c:\Code\angular\pdx-map\src\services\api\SkanderbegProxyService.ts                   | TypeScript |         31 |          0 |          5 |         36 |
| c:\Code\angular\pdx-map\src\services\configuration\GoodViewMode.ts                   | TypeScript |          5 |          0 |          0 |          5 |
